2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Alice'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Bob'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('I love Python!', 'Bob'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Eve'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Alice'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Distributed systems are fascinating.', 'Diana'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Streaming data is fun.', 'Eve'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Have a great day!', 'Charlie'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Eve'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Buzz messages for everyone.', 'Diana'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Charlie'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Distributed systems are fascinating.', 'Charlie'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Buzz messages for everyone.', 'Bob'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('This is a buzz message.', 'Eve'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Data engineering is my passion.', 'Diana'). Skipping.
2025-01-27 19:44:33,066 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Data engineering is my passion.', 'Alice'). Skipping.
2025-01-27 19:44:33,067 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('Buzz messages for everyone.', 'Diana'). Skipping.
2025-01-27 19:44:33,067 | ERROR | __main__ - Error processing row: 'tuple' object has no attribute 'to_dict', Row Data: ('JSON makes life easier.', 'Alice'). Skipping.
2025-01-27 19:44:33,067 | INFO | kafka.producer.kafka - Closing the Kafka producer with 9223372036.0 secs timeout.
2025-01-27 19:44:33,068 | INFO | kafka.conn - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2025-01-27 19:44:33,068 | INFO | __main__ - Kafka producer closed.
2025-01-27 19:47:07,384 | INFO | __main__ - Starting producer application...
2025-01-27 19:47:07,384 | INFO | __main__ - Kafka topic: buzzline_json
2025-01-27 19:47:07,384 | INFO | __main__ - Message interval: 1 seconds
2025-01-27 19:47:07,384 | INFO | __main__ - Data file: /Users/alvaroquintero/Data Streaming/buzzline-03-alvaro/data/buzz.json
2025-01-27 19:47:07,388 | INFO | kafka.conn - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-01-27 19:47:07,388 | INFO | kafka.conn - Probing node bootstrap-0 broker version
2025-01-27 19:47:07,388 | INFO | kafka.conn - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-01-27 19:47:07,493 | INFO | kafka.conn - Broker version identified as 2.5.0
2025-01-27 19:47:07,494 | INFO | kafka.conn - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2025-01-27 19:47:07,495 | INFO | __main__ - Topic 'buzzline_json' already exists.
2025-01-27 19:47:07,497 | INFO | __main__ - Sent message to topic 'buzzline_json': {'type': 'truck_data', 'truck_id': None, 'odometer': None, 'location': None, 'engine_status': None, 'timestamp': None}
